University_Name,Country_Rank,World_Rank
Abhilashi University,841,11988
Acharya N.G. Ranga Agricultural University,262,7128
Acharya Nagarjuna University,212,6494
Adamas University,525,9269
Adesh University,702,10656
Adikavi Nannaya University,423,8542
Ahmedabad University,179,6116
Ajeenkya D.Y. Patil University,626,10000
Akal University,829,11785
AKS University,375,8160
Alagappa University,170,6016
Alakh Prakash Goyal Shimla University,554,9443
Al-Falah University,753,10986
Aliah University,468,8907
Aligarh Muslim University,28,2376
All India Institute of Medical Sciences Bhopal,173,6042
All India Institute of Medical Sciences Bhubaneswar,208,6454
All India Institute of Medical Sciences Delhi,25,2160
All India Institute of Medical Sciences Jodhpur,169,6000
All India Institute of Medical Sciences Patna,184,6183
All India Institute of Medical Sciences Raipur,163,5926
All India Institute of Medical Sciences Rishikesh,164,5929
Allahabad State University,726,10792
Alliance University,203,6391
Ambedkar University Delhi,155,5867
Amity University,10,1320
Amrita Vishwa Vidyapeetham,15,1653
Anand Agricultural University,288,7419
Anant National University,569,9562
Andhra University,117,5013
Anna University,23,2076
Annamalai University,75,4270
Ansal University,296,7501
Apeejay Stya University,330,7809
Apex Professional University,718,10723
Apex University,825,11753
APJ Abdul Kalam Technological University,97,4756
Arka Jain University,821,11706
Arni University,779,11269
Arunachal University of Studies,424,8553
Arunodaya University,871,12689
Aryabhatta Knowledge University,504,9153
Ashoka University,73,4247
Assam Agricultural University,238,6851
Assam Don Bosco University,319,7740
Assam Down Town University,537,9366
Assam Rajiv Gandhi University of Cooperative Management,680,10405
Assam Science and Technology University,390,8315
Assam University,211,6474
Assam Women's University,782,11294
Atal Bihari Vajpayee Hindi Vishwavidyalaya,788,11328
Atal Bihari Vajpayee Vishwavidyalaya,562,9464
Atmiya University,327,7795
AURO University,605,9804
Avantika University,483,8982
Avinashilingam University,438,8678
Awadhesh Pratap Singh University,586,9680
Ayush and Health Sciences University of Chhattisgarh,632,10063
Azim Premji University,86,4476
B.S. Abdur Rahman Crescent Institute of Science and Technology,379,8194
Baba Farid University of Health Sciences,148,5737
Baba Ghulam Shah Badhshah University,228,6682
Baba Mastnath University,748,10936
Babasaheb Bhimrao Ambedkar Bihar University,441,8729
Babasaheb Bhimrao Ambedkar University,217,6530
Babu Banarasi Das University,495,9092
Baddi University of Emerging Sciences and Technologies,703,10658
BAHRA University,744,10926
Banaras Hindu University,22,2059
Banasthali Vidyapith,196,6336
Banda University of Agriculture and Technology,654,10204
Bangalore University,132,5378
Bankura University,763,11059
Bareilly International University,858,12353
Barkatullah University,325,7780
Bastar Vishwavidyalaya,639,10112
Bengaluru North University,828,11777
Bennett University,141,5535
Berhampur University,510,9171
Bhagat Phool Singh Mahila Vishwavidyalaya,798,11384
Bhagwant University,750,10957
Bhakta Kavi Narsinh Mehta University,736,10847
Bharath Institute of Higher Education and Research,253,7049
Bharathiar University,157,5890
Bharathidasan University,89,4532
Bharati Vidyapeeth Deemed University,206,6449
Bhartiya Skill Development University,497,9109
Bhatkhande Music Institute,795,11369
Bhupal Nobles University,832,11831
Bhupendra Narayan Mandal University,641,10119
Bidhan Chandra Krishi Vishwavidyalaya,316,7675
Bihar Agricultural University,482,8979
Biju Patnaik University of Technology,337,7859
Binod Bihari Mahto Koyalanchal University,803,11455
Birla Institute of Technology,68,4143
Birla Institute of Technology and Science,14,1639
Birsa Agricultural University,521,9259
BLDE University,598,9755
BML Munjal University,181,6123
Bodoland University,588,9688
Brainware University,528,9285
Bundelkhand University,236,6800
C.U. Shah University,780,11278
Career Point University,502,9146
Central Agricultural University,538,9369
Central Institute of Fisheries Education,398,8362
Central University of Andhra Pradesh,863,12481
Central University of Gujarat,342,7874
Central University of Haryana,363,8067
Central University of Himachal Pradesh,373,8145
Central University of Jammu,452,8819
Central University of Jharkhand,302,7559
Central University of Karnataka,357,8029
Central University of Kashmir,376,8163
Central University of Kerala,436,8662
Central University of Odisha,380,8197
Central University of Punjab,404,8438
Central University of Rajasthan,222,6605
Central University of South Bihar,350,7975
Central University of Tamil Nadu,295,7500
Central University of Tibetan Studies,658,10238
Centurion University of Technology and Management,313,7665
CEPT University,108,4888
Chanakya National Law University,469,8919
Chandigarh University,30,2379
Chandra Shekhar Azad University of Agriculture and Technology,487,9011
Charotar University of Science and Technology,440,8721
Chaudhary Bansi Lal University,589,9692
Chaudhary Charan Singh Haryana Agricultural University,300,7521
Chaudhary Charan Singh University,103,4850
Chaudhary Devi Lal University,517,9234
Chaudhary Ranbir Singh University,420,8531
Chennai Mathematical Institute,88,4521
Chhatrapati Shahu Ji Maharaj University,91,4540
Chhattisgarh Kamdhenu Vishwavidyalaya,757,11004
Chhattisgarh Swami Vivekananda Technical University,237,6847
Children's University,792,11347
"Chitkara University, Himachal Pradesh",617,9936
"Chitkara University, Punjab",72,4233
Christ University,32,2505
Cluster University of Jammu,738,10849
CMJ University,855,12258
CMR University,584,9667
Cochin University of Science and Technology,39,2953
Cooch Behar Panchanan Barma University,643,10128
Cotton University,527,9284
CSK Himachal Pradesh Krishi Vishvavidyalaya,268,7154
Dakshina Bharat Hindi Prachar Sabha,771,11180
Damodaram Sanjivayya National Law University,621,9954
Datta Meghe Institute of Medical Sciences,602,9789
DAV University,454,8831
Davangere University,670,10348
Dayalbagh Educational Institute,142,5563
Dayananda Sagar University,332,7829
Deccan College Post-Graduate and Research Institute,579,9643
Deen Dayal Upadhyay Gorakhpur University,275,7241
Deenbandhu Chhotu Ram University of Science and Technology,289,7424
Delhi Pharmaceutical Sciences and Research University,596,9732
Delhi Technological University,77,4320
Desh Bhagat University,622,9964
Dev Sanskriti Vishwavidyalaya,432,8611
Devi Ahilya Vishwavidyalaya,84,4449
Dharmsinh Desai University,533,9335
Dhirubhai Ambani Institute of Information and Communication Technology,128,5304
Diamond Harbour Women's University,826,11770
Dibrugarh University,133,5393
DIT University,156,5889
Doon University,511,9188
Dr K.N. Modi University,480,8969
Dr. A.P.J Abdul Kalam University,712,10704
Dr. A.P.J. Abdul Kalam Technical University,43,3161
Dr. B R Ambedkar National Institute of Technology Jalandhar,124,5166
Dr. B.R. Ambedkar University,667,10299
Dr. B.R. Ambedkar University of Social Sciences,850,12084
Dr. Babasaheb Ambedkar Marathwada University,282,7346
Dr. Babasaheb Ambedkar Technological University,394,8343
Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth,442,8733
Dr. Bhimrao Ambedkar University,244,6912
Dr. C.V. Raman University,499,9130
Dr. D.Y. Patil Vidyapeeth,291,7445
Dr. Hari Singh Gour University,347,7930
Dr. M.G.R. Educational and Research Institute,406,8452
Dr. N.T.R. University of Health Sciences,189,6247
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,526,9270
Dr. Rajendra Prasad Central Agricultural University,231,6739
Dr. Ram Manohar Lohia Avadh University,270,7202
Dr. Ram Manohar Lohiya National Law University,503,9147
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Un,Un
Dr. Shakuntala Misra National Rehabilitation University,214,6498
Dr. Vishwanath Karad MIT World Peace University,197,6346
Dr. Y.S. Parmar University of Horticulture and Forestry,399,8367
Dr. Y.S.R. Horticultural University,557,9454
Dravidian University,476,8938
EIILM University,727,10799
Era University,786,11316
Eternal University,747,10933
Fakir Mohan University,545,9389
Flame University,226,6666
Forest Research Institute,496,9097
G.H. Raisoni University,760,11037
G.L.S. University,772,11181
Galgotias University,106,4881
Gandhi Institute of Technology and Management,57,3764
Gandhigram Rural University,205,6445
Gangadhar Meher University,638,10105
Ganpat University,266,7149
Garden City University,359,8052
Gauhati University,96,4738
Gautam Buddha University,329,7801
GD Goenka University,383,8250
Geetanjali University,634,10078
GIET University,709,10683
GLA University,344,7889
Glocal University,397,8359
GNA University,608,9823
Goa University,136,5485
Gokhale Institute of Politics and Economics,339,7865
Gondwana University,550,9421
Govind Ballabh Pant University of Agriculture and Technology,112,4952
Govind Guru Tribal University,699,10607
Graphic Era Hill University,310,7638
Graphic Era University,171,6033
GSFC University,817,11674
Gujarat Ayurved University,353,8003
Gujarat Forensic Sciences University,374,8156
Gujarat National Law University,188,6224
Gujarat Technological University,27,2286
Gujarat University,104,4853
Gujarat University of Transplantation Sciences,864,12499
Gujarat Vidyapith,358,8044
Gulbarga University,735,10845
Guru Angad Dev Veterinary and Animal Sciences University,371,8134
Guru Ghasidas Vishwavidyalaya,242,6906
Guru Gobind Singh Indraprastha University,34,2819
Guru Jambheshwar University of Science and Technology,210,6468
Guru Kashi University,662,10267
Guru Nanak Dev University,100,4807
Guru Ravidas Ayurved University,660,10261
Gurukul Kangri Vishwavidyalaya,478,8946
Harcourt Butler Technical University,489,9034
Haridev Joshi University of Journalism and Mass Communication,838,11929
Hemchandracharya North Gujarat University,241,6878
Hemwati Nandan Bahuguna Garhwal University,202,6381
Hemwati Nandan Bahuguna Uttarakhand Medical Education University,674,10369
Hidayatullah National Law University,392,8327
Himachal Pradesh Technical University,338,7862
Himachal Pradesh University,123,5145
Himalayan Garhwal University,784,11299
Himalayan University,595,9730
Himgiri ZEE University,669,10338
Hindustan Institute of Technology and Science,192,6315
Homi Bhabha National Institute,401,8375
"ICFAI University, Dehradun",447,8778
"ICFAI University, Himachal Pradesh",801,11412
"ICFAI University, Jaipur",679,10396
"ICFAI University, Jharkhand",666,10296
"ICFAI University, Meghalaya",837,11898
"ICFAI University, Mizoram",818,11688
"ICFAI University, Nagaland",813,11654
"ICFAI University, Raipur",807,11496
"ICFAI University, Sikkim",695,10585
"ICFAI University, Tripura",422,8540
IEC University,573,9586
IFHE Hyderabad,416,8511
IFTM University,730,10808
IIHMR University,346,7907
IIMT University,722,10754
IMS Unison University,508,9163
Indian Agricultural Research Institute,129,5306
"Indian Institute of Engineering Science and Technology, Shibpur",195,6332
Indian Institute of Foreign Trade,Un,Un
Indian Institute of Information Technology Allahabad,80,4355
Indian Institute of Information Technology and Management Gwalior,290,7438
"Indian Institute of Information Technology, Design and Manufacturing",322,7759
"Indian Institute of Information Technology, Guwahati",444,8742
"Indian Institute of Information Technology, Kalyani",785,11302
"Indian Institute of Information Technology, Kottayam",700,10636
"Indian Institute of Information Technology, Lucknow",797,11381
"Indian Institute of Information Technology, Manipur",683,10433
"Indian Institute of Information Technology, Sri City",529,9300
"Indian Institute of Information Technology, Una",628,10034
"Indian Institute of Information Technology, Vadodara",514,9219
Indian Institute of Public Health,775,11239
Indian Institute of Science,16,1664
"Indian Institute of Science Education and Research, Bhopal",232,6761
"Indian Institute of Science Education and Research, Kolkata",137,5504
"Indian Institute of Science Education and Research, Mohali",190,6263
"Indian Institute of Science Education and Research, Pune",87,4487
"Indian Institute of Science Education and Research, Thiruvananthapuram",185,6190
Indian Institute of Space Science and Technology,110,4907
Indian Institute of Teacher Education,494,9071
Indian Institute of Technology Bhubaneswar,99,4795
Indian Institute of Technology Bombay,2,452
Indian Institute of Technology Delhi,5,767
Indian Institute of Technology Gandhinagar,35,2853
Indian Institute of Technology Guwahati,11,1485
Indian Institute of Technology Hyderabad,44,3209
Indian Institute of Technology Indore,145,5633
Indian Institute of Technology Jodhpur,98,4785
Indian Institute of Technology Kanpur,3,466
Indian Institute of Technology Kharagpur,6,872
Indian Institute of Technology Madras,4,715
Indian Institute of Technology Mandi,93,4683
Indian Institute of Technology Patna,120,5060
Indian Institute of Technology Roorkee,29,2377
Indian Institute of Technology Ropar,126,5196
"Indian Institute of Technology, BHU",94,4708
Indian Maritime University,251,7010
Indian School of Mines,121,5103
Indian Statistical Institute,31,2472
Indian Veterinary Research Institute,167,5948
Indira Gandhi Delhi Technical University for Women,490,9039
Indira Gandhi Institute of Development Research,78,4323
Indira Gandhi Institute of Medical Sciences,464,8889
Indira Gandhi Krishi Vishwavidyalaya,191,6271
Indira Gandhi National Tribal University,307,7614
Indira Gandhi Technological and Medical Sciences University,848,12056
"Indira Gandhi University, Meerpur",448,8780
Indira Kala Sangeet Vishwavidyalaya,687,10471
Indraprastha Institute of Information Technology,82,4375
Indrashil University,770,11166
Indus International University,835,11869
Indus University,663,10268
Institute of Advanced Research,796,11379
Institute of Advanced Studies in Education,659,10256
Institute of Chemical Technology,267,7153
"Institute of Infrastructure, Technology, Research and Management",599,9757
Integral University,312,7656
International Institute for Population Sciences,168,5957
International Institute of Information Technology Bangalore,81,4370
"International Institute of Information Technology, Bhubaneswar",450,8808
"International Institute of Information Technology, Hyderabad",18,1774
"International Institute of Information Technology, Naya Raipur",604,9798
Invertis University,130,5336
ISBM University,729,10807
Islamic University of Science and Technology,400,8373
ITM University Gwalior,434,8626
ITM University Raipur,160,5912
ITM Vocational University,758,11016
J.C. Bose University of Science and Technology,382,8224
Jadavpur University,66,4103
Jagadguru Ramanandacharya Rajasthan Sanskrit University,698,10602
Jagadguru Rambhadracharya Handicapped University,731,10810
Jagan Nath University,716,10716
Jagannath University,568,9542
Jagran Lakecity University,629,10040
Jai Narain Vyas University,439,8690
Jai Prakash Vishwavidyalaya,235,6789
Jain University,107,4886
Jain Vishva Bharati Institute,535,9356
Jaipur National University,246,6950
Jamia Hamdard,125,5186
Jamia Millia Islamia,38,2920
Jananayak Chandrashekhar University,754,10987
Janardan Rai Nagar Rajasthan Vidhyapeeth University,426,8562
Jawaharlal Institute of Postgraduate Medical Education and Research,67,4104
Jawaharlal Nehru Architecture and Fine Arts University,458,8850
Jawaharlal Nehru Centre for Advanced Scientific Research,83,4435
Jawaharlal Nehru Krishi Vishwavidyalaya,355,8024
Jawaharlal Nehru Technological University,118,5023
"Jawaharlal Nehru Technological University, Anantapur",301,7529
"Jawaharlal Nehru Technological University, Kakinada",165,5930
Jawaharlal Nehru University,13,1548
Jayoti Vidyapeeth Women's University,443,8740
Jaypee Institute of Information Technology,260,7108
Jaypee University Anoopshahr,836,11889
Jaypee University of Engineering and Technology,431,8599
Jaypee University of Information Technology,227,6668
JECRC University,314,7667
Jharkhand Rai University,761,11044
Jharkhand Raksha Shakti University,Un,Un
JIS University,673,10365
Jiwaji University,158,5901
JK Lakshmipat University,378,8184
Jodhpur National University,719,10733
JS University,793,11348
JSS Academy of Higher Education and Research,389,8312
JSS Science and Technology University,830,11797
Junagadh Agricultural University,414,8498
K L University,115,5008
K.K. University,824,11746
K.R. Mangalam University,419,8527
Kadi Sarva Vishwavidyalaya,619,9950
Kakatiya University,321,7745
Kalasalingam Academy of Research and Education,186,6192
Kalinga University,614,9906
Kamdhenu University,740,10859
Kameshwar Singh Darbhanga Sanskrit University,790,11340
Kannada University,566,9512
Kannur University,213,6497
Karnatak University,315,7673
Karnataka Janapada Vishwavidyalaya,853,12146
Karnataka Samskrit University,693,10583
Karnataka State Law University,539,9376
Karnataka State Rural Development and Panchayat Raj University,866,12524
Karnataka State Women's University,648,10162
"Karnataka Veterinary, Animal and Fisheries Sciences University",694,10584
Karnavati University,856,12328
Karpagam Academy of Higher Education,769,11151
Karunya Institute of Technology and Sciences,150,5790
Kavayitri Bahinabai Chaudhari North Maharashtra University,161,5917
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,403,8392
Kazi Nazrul University,625,9993
Kaziranga University,556,9452
Kerala Agricultural University,105,4865
Kerala Kalamandalam,637,10100
Kerala University of Fisheries and Ocean Studies,460,8859
Kerala University of Health Sciences,524,9268
Kerala Veterinary and Animal Sciences University,493,9043
Khallikote University Berhampur,867,12574
Khwaja Moinuddin Chishti Language University,739,10858
KIIT University,85,4462
King George's Medical University,216,6528
KLE Technological University,697,10599
KLE University,248,6978
Kolhan University,484,8986
Krantiguru Shyamji Krishna Verma Kachchh University,360,8054
Krishna Institute of Medical Sciences,616,9918
Krishna University,451,8814
KSGH Music and Performing Arts University,839,11946
Kumar Bhaskar Varma Sanskrit and Ancient Studies University,815,11671
Kumaun University,269,7174
Kurukshetra University,33,2781
Kushabhau Thakre Patrakarita Avam Jansanchar University,720,10745
Kuvempu University,306,7591
Lakshmibai National Institute of Physical Education,396,8357
Lakulish Yoga University,865,12516
Lala Lajpat Rai University of Veterinary and Animal Sciences,567,9517
Lalit Narayan Mithila University,407,8462
Lingaya's University,486,8990
LNCT University,806,11495
Lovely Professional University,20,1928
M.J.P. Rohilkhand University,194,6328
Madan Mohan Malaviya University of Technology,305,7587
Madhav University,513,9218
Madhyanchal Professional University,868,12635
Madurai Kamaraj University,101,4820
Magadh University,364,8074
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,777,11246
Maharaja Agrasen University,762,11058
Maharaja Bir Bikram University,851,12087
Maharaja Chhatrasal Bundelkhand University,649,10163
Maharaja Ganga Singh University,366,8083
Maharaja Krishnakumarsinhji Bhavnagar University,297,7511
Maharaja Ranjit Singh Punjab Technical University,466,8896
Maharaja Surajmal Brij University,610,9825
Maharana Pratap University of Agriculture and Technology,474,8934
Maharashtra Animal and Fishery Sciences University,572,9584
Maharashtra National Law University Mumbai,725,10776
"Maharashtra National Law University, Aurangabad",808,11556
"Maharashtra National Law University, Nagpur",705,10662
Maharashtra University of Health Sciences,249,7003
"Maharishi Arvind University, Jaipur",843,11999
Maharishi Dayanand University,239,6865
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,574,9605
"Maharishi Markandeshwar University, Mullana",245,6931
"Maharishi Markandeshwar University, Sadopur",812,11625
"Maharishi Markandeshwar University, Solan",783,11296
Maharishi University,714,10712
Maharishi University of Management and Technology,647,10158
Maharshi Dayanand Saraswati University,488,9024
Maharshi Panini Sanskrit Vishwavidyalaya,453,8826
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,477,8942
"Mahatma Gandhi Central University, Motihari",437,8674
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,708,10678
Mahatma Gandhi Kashi Vidyapeeth,259,7107
Mahatma Gandhi University,64,3998
